Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g4398	0	0	0	0	3	0	2	2
g4399	0	0	0	0	2	0	0	0
g44	0	0	0	0	0	0	0	0
g440	3	0	7	7	3	0	3	3
g4400	0	0	0	0	0	0	0	0
g4401	0	0	0	0	2	6	0	0
g4402	0	0	0	0	0	0	0	0
g4403	0	0	0	0	0	0	0	0
g4404	0	4	0	0	2	0	0	0
g4405	0	3	0	0	9	0	0	0
g4406	0	0	0	0	0	0	0	0
g4407	0	0	0	0	0	0	0	0
g4408	0	0	0	0	0	3	0	0
g4409	0	0	0	0	0	0	0	0
g441	8	6	7	7	11	0	11	11
g4410	4	0	0	0	4	0	6	6
g4411	0	0	0	0	0	0	0	0
g4412	0	4	0	0	0	0	0	0
g4413	0	2	4	4	2	0	0	0
g4414	2	8	0	0	0	0	0	0
g4415	24	30	22	22	18	11	18	18
g4416	0	0	0	0	0	0	0	0
g4417	0	0	0	0	0	0	0	0
g4418	0	0	0	0	0	0	0	0
g4419	0	0	0	0	0	0	0	0
g442	0	0	0	0	0	0	0	0
g4420	0	0	0	0	0	0	0	0
g4421	0	0	0	0	0	0	0	0
g4422	0	0	0	0	0	0	0	0
g4423	0	0	0	0	0	0	0	0
g4424	0	0	0	0	0	0	0	0
g4425	0	0	0	0	0	0	0	0
g4426	0	0	0	0	0	0	0	0
g4427	0	0	0	0	0	0	0	0
g4428	0	0	0	0	0	0	0	0
g4429	0	0	0	0	0	0	0	0
g443	32	24	22	22	38	34	26	26
g4430	0	0	1	1	0	0	0	0
g4431	0	0	0	0	0	0	0	0
g4432	0	0	0	0	0	0	0	0
g4433	0	0	0	0	0	0	0	0
g4434	0	0	0	0	0	0	0	0
g4435	0	0	0	0	0	0	0	0
g4436	0	0	0	0	0	0	0	0
g4437	0	1	5	5	0	0	0	0
g4438	0	0	0	0	0	0	0	0
g4439	0	0	0	0	0	0	0	0
g444	6	0	4	4	0	0	4	4
g4440	0	0	0	0	0	0	0	0
g4441	0	0	0	0	0	0	0	0
g4442	0	0	0	0	0	0	0	0
g4443	0	0	0	0	0	0	0	0
g4444	0	0	0	0	0	0	0	0
g4445	0	0	0	0	0	0	0	0
g4446	0	0	0	0	0	0	0	0
g4447	0	0	0	0	0	0	0	0
g4448	0	0	0	0	0	0	0	0
g4449	0	0	0	0	0	0	0	0
g445	0	0	0	0	0	0	4	4
g4450	0	0	0	0	0	0	0	0
g4451	0	0	0	0	0	0	0	0
g4452	0	0	0	0	0	0	0	0
g4453	0	0	0	0	0	0	0	0
